1041555, d93d1c, 11815c2, 120aa1d, 3e7e739, 368ba61, 3cf2a88, f5da6b, 1006b18, 7bb87, 11a8651, 20701a9, 3c35411, 219e785, 37e3521, 178408e, 31ee103, 11c4310, 1912840, 181f27, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
ff96af, 3cde16e, 8a637e, 1287dc6, 26b68f7, 39c108c, 17f7bbd, f67052, 1c7ce79, 17906e, 1f900cf, 2e0f5b6, 36c75a7, 3b1523d, 55081b, 21707e1, 8d5464, 3835590, 2ebfb87, 129a42, 
Cycle counts:          69562292, 69023881, 68843286, 69081818, 68835414, 68984012, 68842374, 68952321, 68940499, 68947023, 68883661, 69008653, 68918574, 68901564, 68957798, 69004835, 68996805, 68971977, 69001859, 68919896, 
Branch dir mis:        1227421, 1216637, 1216633, 1216617, 1216638, 1216628, 1216585, 1216608, 1216614, 1216587, 1216616, 1216620, 1216636, 1216631, 1216630, 1216619, 1216616, 1216615, 1216610, 1216592, 
Branch target mis:    596755, 594629, 594475, 594464, 594428, 594488, 594487, 594495, 594445, 594487, 594505, 594483, 594460, 594497, 594506, 594484, 594467, 594489, 594456, 594501, 
Result: e20cf93aa9ea9094058c4ad8adcc7170de8fa3479fd6ea189f67399b0a7c3f05
Expected result: e20cf93aa9ea9094058c4ad8adcc7170de8fa3479fd6ea189f67399b0a7c3f05
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
259dd1a, 2084735, 39c140f, 293f1e3, 324d532, 392edcb, 1a41b32, 2da6a5a, 1079ac6, 14d1e7, 3ae0687, 217eeb6, 381171c, 1620cdb, 3cc48db, 126a7f4, 1c428a2, 3c5e5d0, 2cc4355, 18a081, 
Cycle counts:          69423153, 69039703, 68996462, 69044697, 68999144, 69006435, 68980680, 69062982, 68979787, 68916898, 68955534, 69016420, 68997759, 69022259, 68943973, 69022751, 68952953, 68971402, 68975291, 68982476, 
Branch dir mis:        1220662, 1220535, 1220547, 1220541, 1220520, 1220537, 1220522, 1220516, 1220540, 1220535, 1220528, 1220505, 1220550, 1220519, 1220523, 1220522, 1220529, 1220515, 1220520, 1220516, 
Branch target mis:    594951, 594749, 594778, 594798, 594781, 594731, 594740, 594754, 594742, 594764, 594719, 594816, 594760, 594753, 594726, 594755, 594742, 594785, 594772, 594865, 
Result: ff1fe8ede2246cc724fea438f6deef9e58d9ac3830bafb29b28b2b174272106f
Expected result: ff1fe8ede2246cc724fea438f6deef9e58d9ac3830bafb29b28b2b174272106f
9eb083, 3fa8dbe, 2305c9d, 39a8364, 2fce543, 24fdd94, 29ac611, 2cb8541, 1144f6f, 179ed3, 288959f, 300b5d5, 3ec1d1f, 159933c, 207973f, 3be8bf0, 7e2675, 30e6cda, 36c22f1, cced4, 
9eb083, 3fa8dbe, 2305c9d, 39a8364, 2fce543, 24fdd94, 29ac611, 2cb8541, 1144f6f, 179ed3, 288959f, 300b5d5, 3ec1d1f, 159933c, 207973f, 3be8bf0, 7e2675, 30e6cda, 36c22f1, cced4, 
9eb083, 3fa8dbe, 2305c9d, 39a8364, 2fce543, 24fdd94, 29ac611, 2cb8541, 1144f6f, 179ed3, 288959f, 300b5d5, 3ec1d1f, 159933c, 207973f, 3be8bf0, 7e2675, 30e6cda, 36c22f1, cced4, 
9eb083, 3fa8dbe, 2305c9d, 39a8364, 2fce543, 24fdd94, 29ac611, 2cb8541, 1144f6f, 179ed3, 288959f, 300b5d5, 3ec1d1f, 159933c, 207973f, 3be8bf0, 7e2675, 30e6cda, 36c22f1, cced4, 
9eb083, 3fa8dbe, 2305c9d, 39a8364, 2fce543, 24fdd94, 29ac611, 2cb8541, 1144f6f, 179ed3, 288959f, 300b5d5, 3ec1d1f, 159933c, 207973f, 3be8bf0, 7e2675, 30e6cda, 36c22f1, cced4, 
9eb083, 3fa8dbe, 2305c9d, 39a8364, 2fce543, 24fdd94, 29ac611, 2cb8541, 1144f6f, 179ed3, 288959f, 300b5d5, 3ec1d1f, 159933c, 207973f, 3be8bf0, 7e2675, 30e6cda, 36c22f1, cced4, 
9eb083, 3fa8dbe, 2305c9d, 39a8364, 2fce543, 24fdd94, 29ac611, 2cb8541, 1144f6f, 179ed3, 288959f, 300b5d5, 3ec1d1f, 159933c, 207973f, 3be8bf0, 7e2675, 30e6cda, 36c22f1, cced4, 
9eb083, 3fa8dbe, 2305c9d, 39a8364, 2fce543, 24fdd94, 29ac611, 2cb8541, 1144f6f, 179ed3, 288959f, 300b5d5, 3ec1d1f, 159933c, 207973f, 3be8bf0, 7e2675, 30e6cda, 36c22f1, cced4, 
9eb083, 3fa8dbe, 2305c9d, 39a8364, 2fce543, 24fdd94, 29ac611, 2cb8541, 1144f6f, 179ed3, 288959f, 300b5d5, 3ec1d1f, 159933c, 207973f, 3be8bf0, 7e2675, 30e6cda, 36c22f1, cced4, 
9eb083, 3fa8dbe, 2305c9d, 39a8364, 2fce543, 24fdd94, 29ac611, 2cb8541, 1144f6f, 179ed3, 288959f, 300b5d5, 3ec1d1f, 159933c, 207973f, 3be8bf0, 7e2675, 30e6cda, 36c22f1, cced4, 
9eb083, 3fa8dbe, 2305c9d, 39a8364, 2fce543, 24fdd94, 29ac611, 2cb8541, 1144f6f, 179ed3, 288959f, 300b5d5, 3ec1d1f, 159933c, 207973f, 3be8bf0, 7e2675, 30e6cda, 36c22f1, cced4, 
9eb083, 3fa8dbe, 2305c9d, 39a8364, 2fce543, 24fdd94, 29ac611, 2cb8541, 1144f6f, 179ed3, 288959f, 300b5d5, 3ec1d1f, 159933c, 207973f, 3be8bf0, 7e2675, 30e6cda, 36c22f1, cced4, 
9eb083, 3fa8dbe, 2305c9d, 39a8364, 2fce543, 24fdd94, 29ac611, 2cb8541, 1144f6f, 179ed3, 288959f, 300b5d5, 3ec1d1f, 159933c, 207973f, 3be8bf0, 7e2675, 30e6cda, 36c22f1, cced4, 
9eb083, 3fa8dbe, 2305c9d, 39a8364, 2fce543, 24fdd94, 29ac611, 2cb8541, 1144f6f, 179ed3, 288959f, 300b5d5, 3ec1d1f, 159933c, 207973f, 3be8bf0, 7e2675, 30e6cda, 36c22f1, cced4, 
9eb083, 3fa8dbe, 2305c9d, 39a8364, 2fce543, 24fdd94, 29ac611, 2cb8541, 1144f6f, 179ed3, 288959f, 300b5d5, 3ec1d1f, 159933c, 207973f, 3be8bf0, 7e2675, 30e6cda, 36c22f1, cced4, 
9eb083, 3fa8dbe, 2305c9d, 39a8364, 2fce543, 24fdd94, 29ac611, 2cb8541, 1144f6f, 179ed3, 288959f, 300b5d5, 3ec1d1f, 159933c, 207973f, 3be8bf0, 7e2675, 30e6cda, 36c22f1, cced4, 
9eb083, 3fa8dbe, 2305c9d, 39a8364, 2fce543, 24fdd94, 29ac611, 2cb8541, 1144f6f, 179ed3, 288959f, 300b5d5, 3ec1d1f, 159933c, 207973f, 3be8bf0, 7e2675, 30e6cda, 36c22f1, cced4, 
9eb083, 3fa8dbe, 2305c9d, 39a8364, 2fce543, 24fdd94, 29ac611, 2cb8541, 1144f6f, 179ed3, 288959f, 300b5d5, 3ec1d1f, 159933c, 207973f, 3be8bf0, 7e2675, 30e6cda, 36c22f1, cced4, 
