run, id, cycles, Branch mispredictions, Icache busy
0, 0, 7120884, 3705, 1539406 
0, 1, 6547158, 3872, 964867 
0, 2, 6436532, 3660, 854891 
0, 3, 6366185, 3660, 784353 
0, 4, 6408363, 3660, 826795 
0, 5, 6388295, 3659, 807087 
0, 6, 6417334, 3659, 835379 
0, 7, 6353860, 3660, 772047 
0, 8, 6423692, 3660, 841373 
0, 9, 6315930, 3660, 734521 
0, 10, 6425076, 3660, 842789 
0, 11, 6432313, 3660, 850961 
0, 12, 6318218, 3660, 736449 
0, 13, 6420830, 3660, 839165 
0, 14, 6414598, 3660, 832323 
0, 15, 6359256, 3660, 777771 
0, 16, 6321284, 3660, 739887 
0, 17, 6378538, 3660, 795969 
0, 18, 6369594, 3659, 787395 
0, 19, 6387287, 3660, 805749 
0, 20, 6366465, 3660, 784977 
0, 21, 6430502, 3660, 847825 
0, 22, 6367466, 3660, 784919 
0, 23, 6357550, 3660, 775733 
0, 24, 6358248, 3660, 776773 
0, 25, 6340911, 4244, 757417 
0, 26, 6386427, 3660, 804881 
0, 27, 6363936, 3660, 782093 
0, 28, 6358392, 3660, 776915 
0, 29, 6361521, 3660, 779695 
0, 30, 6371674, 3660, 790173 
0, 31, 6440951, 3660, 859297 
0, 32, 6396735, 3659, 815477 
0, 33, 6383915, 3660, 802365 
0, 34, 6362539, 3659, 779655 
0, 35, 6352605, 3660, 770095 
0, 36, 6344778, 3659, 763695 
0, 37, 6378906, 3659, 797739 
0, 38, 6355025, 3660, 772849 
0, 39, 6340552, 3660, 759123 
0, 40, 6357135, 3660, 775261 
0, 41, 6364344, 3659, 782857 
0, 42, 6377675, 3660, 795113 
0, 43, 6348066, 3660, 766607 
0, 44, 6380480, 3660, 798853 
0, 45, 6387997, 3660, 806113 
0, 46, 6381632, 3659, 799071 
0, 47, 6368026, 3659, 786181 
0, 48, 6399167, 3660, 817253 
0, 49, 6382166, 3659, 800993 
1, 0, 7121235, 3892, 1539406 
1, 1, 6546752, 3661, 964867 
1, 2, 6436532, 3660, 854891 
1, 3, 6366185, 3660, 784353 
1, 4, 6408363, 3660, 826795 
1, 5, 6388295, 3659, 807087 
1, 6, 6417334, 3659, 835379 
1, 7, 6353860, 3660, 772047 
1, 8, 6423692, 3660, 841373 
