run, id, cycles, Branch mispredictions, Icache busy
0, 0, 286971, 25, 211540 
0, 1, 74710, 16, 0 
0, 2, 74696, 12, 0 
0, 3, 74689, 10, 0 
0, 4, 74693, 11, 0 
0, 5, 74689, 10, 0 
0, 6, 74693, 11, 0 
0, 7, 74689, 10, 0 
0, 8, 74693, 11, 0 
0, 9, 74689, 10, 0 
0, 10, 74693, 11, 0 
0, 11, 74689, 10, 0 
0, 12, 74693, 11, 0 
0, 13, 74689, 10, 0 
0, 14, 74693, 11, 0 
0, 15, 74689, 10, 0 
0, 16, 74693, 11, 0 
0, 17, 74689, 10, 0 
0, 18, 74693, 11, 0 
0, 19, 74689, 10, 0 
0, 20, 74693, 11, 0 
0, 21, 74689, 10, 0 
0, 22, 74693, 11, 0 
0, 23, 74689, 10, 0 
0, 24, 74693, 11, 0 
0, 25, 74689, 10, 0 
0, 26, 74693, 11, 0 
0, 27, 74689, 10, 0 
0, 28, 74693, 11, 0 
0, 29, 74689, 10, 0 
0, 30, 74693, 11, 0 
0, 31, 74689, 10, 0 
0, 32, 74693, 11, 0 
0, 33, 74689, 10, 0 
0, 34, 74693, 11, 0 
0, 35, 74689, 10, 0 
0, 36, 74693, 11, 0 
0, 37, 74689, 10, 0 
0, 38, 74693, 11, 0 
0, 39, 74689, 10, 0 
0, 40, 74693, 11, 0 
0, 41, 74689, 10, 0 
0, 42, 74693, 11, 0 
0, 43, 74689, 10, 0 
0, 44, 74693, 11, 0 
0, 45, 74689, 10, 0 
0, 46, 74693, 11, 0 
0, 47, 74689, 10, 0 
0, 48, 74693, 11, 0 
0, 49, 74689, 10, 0 
1, 0, 286972, 25, 211540 
1, 1, 74713, 17, 0 
1, 2, 74693, 11, 0 
1, 3, 74683, 8, 0 
1, 4, 74690, 10, 0 
1, 5, 74682, 8, 0 
1, 6, 74690, 10, 0 
1, 7, 74682, 8, 0 
1, 8, 74690, 10, 0 
1, 9, 74682, 8, 0 
1, 10, 74690, 10, 0 
1, 11, 74682, 8, 0 
1, 12, 74690, 10, 0 
1, 13, 74682, 8, 0 
1, 14, 74690, 10, 0 
1, 15, 74682, 8, 0 
1, 16, 74690, 10, 0 
1, 17, 74682, 8, 0 
1, 18, 74690, 10, 0 
1, 19, 74682, 8, 0 
1, 20, 74690, 10, 0 
1, 21, 74682, 8, 0 
1, 22, 74690, 10, 0 
1, 23, 74682, 8, 0 
1, 24, 74690, 10, 0 
1, 25, 74682, 8, 0 
1, 26, 74690, 10, 0 
1, 27, 74682, 8, 0 
1, 28, 74690, 10, 0 
1, 29, 74682, 8, 0 
1, 30, 74690, 10, 0 
1, 31, 74682, 8, 0 
1, 32, 74690, 10, 0 
1, 33, 74682, 8, 0 
1, 34, 74690, 10, 0 
1, 35, 74682, 8, 0 
1, 36, 74690, 10, 0 
1, 37, 74682, 8, 0 
1, 38, 74690, 10, 0 
1, 39, 74682, 8, 0 
1, 40, 74690, 10, 0 
1, 41, 74682, 8, 0 
1, 42, 74690, 10, 0 
1, 43, 74682, 8, 0 
1, 44, 74690, 10, 0 
1, 45, 74682, 8, 0 
1, 46, 74690, 10, 0 
1, 47, 74682, 8, 0 
1, 48, 74690, 10, 0 
1, 49, 74682, 8, 0 
2, 0, 286968, 24, 211540 
2, 1, 74718, 19, 0 
2, 2, 74706, 15, 0 
2, 3, 74704, 15, 0 
2, 4, 74701, 14, 0 
2, 5, 74697, 13, 0 
2, 6, 74698, 13, 0 
2, 7, 74697, 13, 0 
2, 8, 74698, 13, 0 
2, 9, 74697, 13, 0 
2, 10, 74698, 13, 0 
2, 11, 74697, 13, 0 
2, 12, 74698, 13, 0 
2, 13, 74697, 13, 0 
2, 14, 74698, 13, 0 
2, 15, 74697, 13, 0 
2, 16, 74698, 13, 0 
2, 17, 74697, 13, 0 
2, 18, 74698, 13, 0 
2, 19, 74697, 13, 0 
2, 20, 74698, 13, 0 
2, 21, 74697, 13, 0 
2, 22, 74698, 13, 0 
2, 23, 74697, 13, 0 
2, 24, 74698, 13, 0 
2, 25, 74697, 13, 0 
2, 26, 74698, 13, 0 
2, 27, 74697, 13, 0 
2, 28, 74698, 13, 0 
2, 29, 74697, 13, 0 
2, 30, 74698, 13, 0 
2, 31, 74697, 13, 0 
2, 32, 74698, 13, 0 
2, 33, 74697, 13, 0 
2, 34, 74698, 13, 0 
2, 35, 74697, 13, 0 
2, 36, 74698, 13, 0 
2, 37, 74697, 13, 0 
2, 38, 74698, 13, 0 
2, 39, 74697, 13, 0 
2, 40, 74698, 13, 0 
2, 41, 74697, 13, 0 
2, 42, 74698, 13, 0 
2, 43, 74697, 13, 0 
2, 44, 74698, 13, 0 
2, 45, 74697, 13, 0 
2, 46, 74698, 13, 0 
2, 47, 74697, 13, 0 
2, 48, 74698, 13, 0 
2, 49, 74697, 13, 0 
3, 0, 286972, 25, 211540 
3, 1, 74716, 18, 0 
3, 2, 74694, 11, 0 
3, 3, 74682, 8, 0 
3, 4, 74690, 10, 0 
3, 5, 74682, 8, 0 
3, 6, 74690, 10, 0 
3, 7, 74682, 8, 0 
3, 8, 74690, 10, 0 
3, 9, 74682, 8, 0 
3, 10, 74690, 10, 0 
3, 11, 74682, 8, 0 
3, 12, 74690, 10, 0 
3, 13, 74682, 8, 0 
3, 14, 74690, 10, 0 
3, 15, 74682, 8, 0 
3, 16, 74690, 10, 0 
3, 17, 74682, 8, 0 
3, 18, 74690, 10, 0 
3, 19, 74682, 8, 0 
3, 20, 74690, 10, 0 
3, 21, 74682, 8, 0 
3, 22, 74690, 10, 0 
3, 23, 74682, 8, 0 
