run, id, cycles, Branch mispredictions, Icache busy
0, 0, 663339, 106, 485911 
0, 1, 183170, 97, 4805 
0, 2, 178355, 96, 1 
0, 3, 178354, 96, 1 
0, 4, 178345, 93, 1 
0, 5, 178347, 94, 1 
0, 6, 178341, 92, 1 
0, 7, 178344, 93, 1 
0, 8, 178341, 92, 1 
0, 9, 178344, 93, 1 
0, 10, 178341, 92, 1 
0, 11, 178344, 93, 1 
0, 12, 178341, 92, 1 
0, 13, 178344, 93, 1 
0, 14, 178341, 92, 1 
0, 15, 178344, 93, 1 
0, 16, 178341, 92, 1 
0, 17, 178344, 93, 1 
0, 18, 178341, 92, 1 
0, 19, 178344, 93, 1 
0, 20, 178341, 92, 1 
0, 21, 178344, 93, 1 
0, 22, 178341, 92, 1 
0, 23, 178344, 93, 1 
0, 24, 178341, 92, 1 
0, 25, 178344, 93, 1 
0, 26, 178341, 92, 1 
0, 27, 178344, 93, 1 
0, 28, 178341, 92, 1 
0, 29, 178344, 93, 1 
0, 30, 178341, 92, 1 
0, 31, 178344, 93, 1 
0, 32, 178341, 92, 1 
0, 33, 178344, 93, 1 
0, 34, 178341, 92, 1 
0, 35, 178344, 93, 1 
0, 36, 178341, 92, 1 
0, 37, 178344, 93, 1 
0, 38, 178341, 92, 1 
0, 39, 178344, 93, 1 
0, 40, 178341, 92, 1 
0, 41, 178344, 93, 1 
0, 42, 178341, 92, 1 
0, 43, 178344, 93, 1 
0, 44, 178341, 92, 1 
0, 45, 178344, 93, 1 
0, 46, 178341, 92, 1 
0, 47, 178344, 93, 1 
0, 48, 178341, 92, 1 
0, 49, 178344, 93, 1 
1, 0, 663635, 111, 486192 
1, 1, 197054, 99, 18654 
1, 2, 183162, 94, 4805 
1, 3, 178346, 93, 1 
1, 4, 178345, 93, 1 
1, 5, 178346, 93, 1 
1, 6, 178348, 94, 1 
1, 7, 178346, 93, 1 
1, 8, 178348, 94, 1 
1, 9, 178346, 93, 1 
1, 10, 178348, 94, 1 
1, 11, 178346, 93, 1 
1, 12, 178348, 94, 1 
1, 13, 178346, 93, 1 
1, 14, 178348, 94, 1 
1, 15, 178346, 93, 1 
1, 16, 178348, 94, 1 
1, 17, 178346, 93, 1 
1, 18, 178348, 94, 1 
1, 19, 178346, 93, 1 
1, 20, 178348, 94, 1 
1, 21, 178346, 93, 1 
1, 22, 178348, 94, 1 
1, 23, 178346, 93, 1 
1, 24, 178348, 94, 1 
1, 25, 178346, 93, 1 
1, 26, 178348, 94, 1 
1, 27, 178346, 93, 1 
1, 28, 178348, 94, 1 
1, 29, 178346, 93, 1 
1, 30, 178348, 94, 1 
1, 31, 178346, 93, 1 
1, 32, 178348, 94, 1 
1, 33, 178346, 93, 1 
1, 34, 178348, 94, 1 
1, 35, 178346, 93, 1 
1, 36, 178348, 94, 1 
1, 37, 178346, 93, 1 
1, 38, 178348, 94, 1 
1, 39, 178346, 93, 1 
1, 40, 178348, 94, 1 
1, 41, 178346, 93, 1 
1, 42, 178348, 94, 1 
1, 43, 178346, 93, 1 
1, 44, 178348, 94, 1 
1, 45, 178346, 93, 1 
1, 46, 178348, 94, 1 
1, 47, 178346, 93, 1 
1, 48, 178348, 94, 1 
1, 49, 178346, 93, 1 
2, 0, 663346, 108, 485911 
2, 1, 183169, 97, 4805 
2, 2, 178345, 93, 1 
2, 3, 178349, 95, 1 
2, 4, 178347, 94, 1 
2, 5, 178349, 95, 1 
2, 6, 178347, 94, 1 
2, 7, 178349, 95, 1 
2, 8, 178347, 94, 1 
2, 9, 178349, 95, 1 
2, 10, 178347, 94, 1 
2, 11, 178349, 95, 1 
2, 12, 178347, 94, 1 
2, 13, 178349, 95, 1 
2, 14, 178347, 94, 1 
2, 15, 178349, 95, 1 
2, 16, 178347, 94, 1 
2, 17, 178349, 95, 1 
2, 18, 178347, 94, 1 
2, 19, 178349, 95, 1 
2, 20, 178347, 94, 1 
2, 21, 178349, 95, 1 
2, 22, 178347, 94, 1 
2, 23, 178349, 95, 1 
2, 24, 178347, 94, 1 
2, 25, 178349, 95, 1 
2, 26, 178347, 94, 1 
2, 27, 178349, 95, 1 
2, 28, 178347, 94, 1 
2, 29, 178349, 95, 1 
2, 30, 178347, 94, 1 
2, 31, 178349, 95, 1 
2, 32, 178347, 94, 1 
2, 33, 178349, 95, 1 
2, 34, 178347, 94, 1 
2, 35, 178349, 95, 1 
2, 36, 178347, 94, 1 
2, 37, 178349, 95, 1 
2, 38, 178347, 94, 1 
2, 39, 178349, 95, 1 
2, 40, 178347, 94, 1 
2, 41, 178349, 95, 1 
2, 42, 178347, 94, 1 
2, 43, 178349, 95, 1 
2, 44, 178347, 94, 1 
2, 45, 178349, 95, 1 
