run, id, cycles, Branch mispredictions, Icache busy
0, 0, 270061, 43, 149202 
0, 1, 121917, 38, 0 
0, 2, 121910, 36, 0 
0, 3, 121910, 36, 0 
0, 4, 121910, 36, 0 
0, 5, 121910, 36, 0 
0, 6, 121910, 36, 0 
0, 7, 121910, 36, 0 
0, 8, 121910, 36, 0 
0, 9, 121910, 36, 0 
0, 10, 121910, 36, 0 
0, 11, 121910, 36, 0 
0, 12, 121910, 36, 0 
0, 13, 121910, 36, 0 
0, 14, 121910, 36, 0 
0, 15, 121910, 36, 0 
0, 16, 121910, 36, 0 
0, 17, 121910, 36, 0 
0, 18, 121910, 36, 0 
0, 19, 121910, 36, 0 
0, 20, 121910, 36, 0 
0, 21, 121910, 36, 0 
0, 22, 121910, 36, 0 
0, 23, 121910, 36, 0 
0, 24, 121910, 36, 0 
0, 25, 121910, 36, 0 
0, 26, 121910, 36, 0 
0, 27, 121910, 36, 0 
0, 28, 121910, 36, 0 
0, 29, 121910, 36, 0 
0, 30, 121910, 36, 0 
0, 31, 121910, 36, 0 
0, 32, 121910, 36, 0 
0, 33, 121910, 36, 0 
0, 34, 121910, 36, 0 
0, 35, 121910, 36, 0 
0, 36, 121910, 36, 0 
0, 37, 121910, 36, 0 
0, 38, 121910, 36, 0 
0, 39, 121910, 36, 0 
0, 40, 121910, 36, 0 
0, 41, 121910, 36, 0 
0, 42, 121910, 36, 0 
0, 43, 121910, 36, 0 
0, 44, 121910, 36, 0 
0, 45, 121910, 36, 0 
0, 46, 121910, 36, 0 
0, 47, 121910, 36, 0 
0, 48, 121910, 36, 0 
0, 49, 121910, 36, 0 
1, 0, 270052, 40, 149202 
1, 1, 121918, 38, 0 
1, 2, 121910, 36, 0 
1, 3, 121910, 36, 0 
1, 4, 121910, 36, 0 
1, 5, 121910, 36, 0 
1, 6, 121910, 36, 0 
1, 7, 121910, 36, 0 
1, 8, 121910, 36, 0 
1, 9, 121910, 36, 0 
1, 10, 121910, 36, 0 
1, 11, 121910, 36, 0 
1, 12, 121910, 36, 0 
1, 13, 121910, 36, 0 
1, 14, 121910, 36, 0 
1, 15, 121910, 36, 0 
1, 16, 121910, 36, 0 
1, 17, 121910, 36, 0 
1, 18, 121910, 36, 0 
1, 19, 121910, 36, 0 
1, 20, 121910, 36, 0 
1, 21, 121910, 36, 0 
1, 22, 121910, 36, 0 
1, 23, 121910, 36, 0 
1, 24, 121910, 36, 0 
1, 25, 121910, 36, 0 
1, 26, 121910, 36, 0 
1, 27, 121910, 36, 0 
1, 28, 121910, 36, 0 
1, 29, 121910, 36, 0 
1, 30, 121910, 36, 0 
1, 31, 121910, 36, 0 
1, 32, 121910, 36, 0 
1, 33, 121910, 36, 0 
1, 34, 121910, 36, 0 
1, 35, 121910, 36, 0 
1, 36, 121910, 36, 0 
1, 37, 121910, 36, 0 
1, 38, 121910, 36, 0 
1, 39, 121910, 36, 0 
1, 40, 121910, 36, 0 
1, 41, 121910, 36, 0 
1, 42, 121910, 36, 0 
1, 43, 121910, 36, 0 
1, 44, 121910, 36, 0 
1, 45, 121910, 36, 0 
1, 46, 121910, 36, 0 
1, 47, 121910, 36, 0 
1, 48, 121910, 36, 0 
1, 49, 121910, 36, 0 
2, 0, 270058, 42, 149202 
2, 1, 121920, 39, 0 
2, 2, 121910, 36, 0 
2, 3, 121910, 36, 0 
2, 4, 121910, 36, 0 
2, 5, 121910, 36, 0 
2, 6, 121910, 36, 0 
2, 7, 121910, 36, 0 
2, 8, 121910, 36, 0 
2, 9, 121910, 36, 0 
2, 10, 121910, 36, 0 
2, 11, 121910, 36, 0 
2, 12, 121910, 36, 0 
2, 13, 121910, 36, 0 
2, 14, 121910, 36, 0 
2, 15, 121910, 36, 0 
2, 16, 121910, 36, 0 
2, 17, 121910, 36, 0 
2, 18, 121910, 36, 0 
2, 19, 121910, 36, 0 
2, 20, 121910, 36, 0 
2, 21, 121910, 36, 0 
2, 22, 121910, 36, 0 
2, 23, 121910, 36, 0 
2, 24, 121910, 36, 0 
2, 25, 121910, 36, 0 
2, 26, 121910, 36, 0 
2, 27, 121910, 36, 0 
2, 28, 121910, 36, 0 
2, 29, 121910, 36, 0 
2, 30, 121910, 36, 0 
2, 31, 121910, 36, 0 
2, 32, 121910, 36, 0 
2, 33, 121910, 36, 0 
2, 34, 121910, 36, 0 
2, 35, 121910, 36, 0 
2, 36, 121910, 36, 0 
2, 37, 121910, 36, 0 
2, 38, 121910, 36, 0 
2, 39, 121910, 36, 0 
2, 40, 121910, 36, 0 
2, 41, 121910, 36, 0 
2, 42, 121910, 36, 0 
2, 43, 121910, 36, 0 
2, 44, 121910, 36, 0 
2, 45, 121910, 36, 0 
2, 46, 121910, 36, 0 
2, 47, 121910, 36, 0 
2, 48, 121910, 36, 0 
2, 49, 121910, 36, 0 
3, 0, 270055, 41, 149202 
3, 1, 121920, 39, 0 
3, 2, 121910, 36, 0 
3, 3, 121910, 36, 0 
3, 4, 121910, 36, 0 
3, 5, 121910, 36, 0 
3, 6, 121910, 36, 0 
3, 7, 121910, 36, 0 
3, 8, 121910, 36, 0 
3, 9, 121910, 36, 0 
3, 10, 121910, 36, 0 
3, 11, 121910, 36, 0 
3, 12, 121910, 36, 0 
3, 13, 121910, 36, 0 
3, 14, 121910, 36, 0 
3, 15, 121910, 36, 0 
3, 16, 121910, 36, 0 
3, 17, 121910, 36, 0 
3, 18, 121910, 36, 0 
3, 19, 121910, 36, 0 
3, 20, 121910, 36, 0 
3, 21, 121910, 36, 0 
3, 22, 121910, 36, 0 
3, 23, 121910, 36, 0 
3, 24, 121910, 36, 0 
3, 25, 121910, 36, 0 
3, 26, 121910, 36, 0 
3, 27, 121910, 36, 0 
3, 28, 121910, 36, 0 
3, 29, 121910, 36, 0 
3, 30, 121910, 36, 0 
3, 31, 121910, 36, 0 
3, 32, 121910, 36, 0 
3, 33, 121910, 36, 0 
3, 34, 121910, 36, 0 
3, 35, 121910, 36, 0 
3, 36, 121910, 36, 0 
3, 37, 121910, 36, 0 
3, 38, 121910, 36, 0 
3, 39, 121910, 36, 0 
3, 40, 121910, 36, 0 
3, 41, 121910, 36, 0 
3, 42, 121910, 36, 0 
3, 43, 121910, 36, 0 
3, 44, 121910, 36, 0 
3, 45, 121910, 36, 0 
3, 46, 121910, 36, 0 
3, 47, 121910, 36, 0 
3, 48, 121910, 36, 0 
3, 49, 121910, 36, 0 
4, 0, 270061, 43, 149202 
4, 1, 121920, 39, 0 
4, 2, 121914, 37, 0 
4, 3, 121914, 37, 0 
4, 4, 121914, 37, 0 
4, 5, 121914, 37, 0 
4, 6, 121914, 37, 0 
4, 7, 121914, 37, 0 
4, 8, 121914, 37, 0 
4, 9, 121914, 37, 0 
4, 10, 121914, 37, 0 
4, 11, 121914, 37, 0 
4, 12, 121914, 37, 0 
4, 13, 121914, 37, 0 
4, 14, 121914, 37, 0 
4, 15, 121914, 37, 0 
4, 16, 121914, 37, 0 
4, 17, 121914, 37, 0 
4, 18, 121914, 37, 0 
4, 19, 121914, 37, 0 
4, 20, 121914, 37, 0 
4, 21, 121914, 37, 0 
4, 22, 121914, 37, 0 
4, 23, 121914, 37, 0 
4, 24, 121914, 37, 0 
4, 25, 121914, 37, 0 
4, 26, 121914, 37, 0 
4, 27, 121914, 37, 0 
4, 28, 121914, 37, 0 
4, 29, 121914, 37, 0 
4, 30, 121914, 37, 0 
4, 31, 121914, 37, 0 
4, 32, 121914, 37, 0 
4, 33, 121914, 37, 0 
4, 34, 121914, 37, 0 
4, 35, 121914, 37, 0 
4, 36, 121914, 37, 0 
4, 37, 121914, 37, 0 
4, 38, 121914, 37, 0 
4, 39, 121914, 37, 0 
4, 40, 121914, 37, 0 
4, 41, 121914, 37, 0 
4, 42, 121914, 37, 0 
4, 43, 121914, 37, 0 
4, 44, 121914, 37, 0 
4, 45, 121914, 37, 0 
4, 46, 121914, 37, 0 
4, 47, 121914, 37, 0 
4, 48, 121914, 37, 0 
4, 49, 121914, 37, 0 
5, 0, 270055, 41, 149202 
5, 1, 121920, 39, 0 
5, 2, 121910, 36, 0 
5, 3, 121910, 36, 0 
5, 4, 121910, 36, 0 
5, 5, 121910, 36, 0 
5, 6, 121910, 36, 0 
5, 7, 121910, 36, 0 
5, 8, 121910, 36, 0 
5, 9, 121910, 36, 0 
