run, id, cycles, Branch predicistion mis, Branch target mis, Correct
0, 0, 311315, 647, 27, true

0, 1, 92618, 628, 24, true

0, 2, 92602, 622, 26, true

0, 3, 92588, 622, 24, true

0, 4, 92590, 619, 29, true

0, 5, 92594, 619, 29, true

0, 6, 92591, 619, 29, true

0, 7, 92592, 619, 29, true

0, 8, 92591, 619, 29, true

0, 9, 92592, 619, 29, true

0, 10, 92591, 619, 29, true

0, 11, 92592, 619, 29, true

0, 12, 92591, 619, 29, true

0, 13, 92592, 619, 29, true

0, 14, 92591, 619, 29, true

0, 15, 92592, 619, 29, true

0, 16, 92591, 619, 29, true

0, 17, 92592, 619, 29, true

0, 18, 92591, 619, 29, true

0, 19, 92592, 619, 29, true

1, 0, 308909, 648, 26, true

1, 1, 92615, 627, 24, true

1, 2, 92605, 623, 26, true

1, 3, 92594, 624, 24, true

1, 4, 92596, 621, 29, true

1, 5, 92601, 621, 28, true

1, 6, 92605, 621, 28, true

1, 7, 92601, 621, 28, true

1, 8, 92605, 621, 28, true

1, 9, 92601, 621, 28, true

1, 10, 92605, 621, 28, true

1, 11, 92601, 621, 28, true

1, 12, 92605, 621, 28, true

1, 13, 92601, 621, 28, true

1, 14, 92605, 621, 28, true

1, 15, 92601, 621, 28, true

1, 16, 92605, 621, 28, true

1, 17, 92601, 621, 28, true

1, 18, 92605, 621, 28, true

1, 19, 92601, 621, 28, true

2, 0, 311318, 647, 28, false

2, 1, 92615, 627, 24, false

2, 2, 92602, 622, 26, false

2, 3, 92588, 622, 24, false

2, 4, 92590, 619, 29, false

2, 5, 92594, 619, 29, false

2, 6, 92591, 619, 29, false

2, 7, 92592, 619, 29, false

2, 8, 92591, 619, 29, false

2, 9, 92592, 619, 29, false

2, 10, 92591, 619, 29, false

2, 11, 92592, 619, 29, false

2, 12, 92591, 619, 29, false

2, 13, 92592, 619, 29, false

2, 14, 92591, 619, 29, false

2, 15, 92592, 619, 29, false

2, 16, 92591, 619, 29, false

2, 17, 92592, 619, 29, false

2, 18, 92591, 619, 29, false

2, 19, 92592, 619, 29, false

3, 0, 308908, 647, 27, false

3, 1, 92615, 627, 24, false

3, 2, 92605, 623, 26, false

3, 3, 92594, 624, 24, false

3, 4, 92596, 621, 29, false

3, 5, 92601, 621, 28, false

3, 6, 92605, 621, 28, false

3, 7, 92601, 621, 28, false

3, 8, 92605, 621, 28, false

3, 9, 92601, 621, 28, false

3, 10, 92605, 621, 28, false

3, 11, 92601, 621, 28, false

3, 12, 92605, 621, 28, false

3, 13, 92601, 621, 28, false

3, 14, 92605, 621, 28, false

3, 15, 92601, 621, 28, false

3, 16, 92605, 621, 28, false

3, 17, 92601, 621, 28, false

3, 18, 92605, 621, 28, false

3, 19, 92601, 621, 28, false

4, 0, 311327, 645, 28, true

4, 1, 92614, 628, 25, true

4, 2, 92610, 626, 27, true

4, 3, 92606, 622, 27, true

4, 4, 92592, 619, 29, true

4, 5, 92587, 619, 26, true

4, 6, 92599, 621, 28, true

4, 7, 92592, 619, 29, true

4, 8, 92587, 619, 26, true

4, 9, 92599, 621, 28, true

4, 10, 92592, 619, 29, true

4, 11, 92587, 619, 26, true

4, 12, 92599, 621, 28, true

4, 13, 92592, 619, 29, true

4, 14, 92587, 619, 26, true

4, 15, 92599, 621, 28, true

4, 16, 92592, 619, 29, true

4, 17, 92587, 619, 26, true

4, 18, 92599, 621, 28, true

4, 19, 92592, 619, 29, true

5, 0, 308933, 648, 28, false

5, 1, 92611, 626, 24, false

5, 2, 92605, 623, 26, false

5, 3, 92594, 624, 24, false

5, 4, 92596, 621, 29, false

5, 5, 92601, 621, 28, false

5, 6, 92605, 621, 28, false

5, 7, 92601, 621, 28, false

5, 8, 92605, 621, 28, false

5, 9, 92601, 621, 28, false

5, 10, 92605, 621, 28, false

5, 11, 92601, 621, 28, false

5, 12, 92605, 621, 28, false

5, 13, 92601, 621, 28, false

5, 14, 92605, 621, 28, false

5, 15, 92601, 621, 28, false

5, 16, 92605, 621, 28, false

5, 17, 92601, 621, 28, false

5, 18, 92605, 621, 28, false

5, 19, 92601, 621, 28, false

6, 0, 311326, 643, 29, false

6, 1, 92619, 628, 25, false

6, 2, 92597, 622, 26, false

6, 3, 92604, 624, 28, false

6, 4, 92600, 619, 28, false

6, 5, 92593, 619, 29, false

6, 6, 92599, 621, 28, false

6, 7, 92592, 619, 29, false

6, 8, 92587, 619, 26, false

6, 9, 92599, 621, 28, false

6, 10, 92592, 619, 29, false

6, 11, 92587, 619, 26, false

6, 12, 92599, 621, 28, false

6, 13, 92592, 619, 29, false

6, 14, 92587, 619, 26, false

6, 15, 92599, 621, 28, false

6, 16, 92592, 619, 29, false

6, 17, 92587, 619, 26, false

6, 18, 92599, 621, 28, false

6, 19, 92592, 619, 29, false

7, 0, 308909, 647, 27, true

7, 1, 92618, 628, 24, true

7, 2, 92605, 623, 26, true

7, 3, 92594, 624, 24, true

7, 4, 92596, 621, 29, true

7, 5, 92601, 621, 28, true

7, 6, 92605, 621, 28, true

7, 7, 92601, 621, 28, true

7, 8, 92605, 621, 28, true

7, 9, 92601, 621, 28, true

7, 10, 92605, 621, 28, true

7, 11, 92601, 621, 28, true

7, 12, 92605, 621, 28, true

7, 13, 92601, 621, 28, true

7, 14, 92605, 621, 28, true

7, 15, 92601, 621, 28, true

7, 16, 92605, 621, 28, true

7, 17, 92601, 621, 28, true

7, 18, 92605, 621, 28, true

7, 19, 92601, 621, 28, true

8, 0, 311324, 649, 28, true

8, 1, 92634, 632, 26, true

8, 2, 92609, 623, 26, true

8, 3, 92601, 623, 28, true

8, 4, 92594, 620, 28, true

8, 5, 92595, 620, 29, true

8, 6, 92594, 620, 28, true

8, 7, 92595, 620, 29, true

8, 8, 92594, 620, 28, true

8, 9, 92595, 620, 29, true

8, 10, 92594, 620, 28, true

8, 11, 92595, 620, 29, true

8, 12, 92594, 620, 28, true

8, 13, 92595, 620, 29, true

8, 14, 92594, 620, 28, true

8, 15, 92595, 620, 29, true

8, 16, 92594, 620, 28, true

8, 17, 92595, 620, 29, true

8, 18, 92594, 620, 28, true

8, 19, 92595, 620, 29, true

9, 0, 308913, 648, 27, false

9, 1, 92628, 630, 26, false

9, 2, 92609, 623, 26, false

9, 3, 92601, 623, 28, false

9, 4, 92594, 620, 28, false

9, 5, 92603, 620, 28, false

9, 6, 92599, 620, 28, false

9, 7, 92603, 620, 28, false

9, 8, 92599, 620, 28, false

9, 9, 92603, 620, 28, false

9, 10, 92599, 620, 28, false

9, 11, 92603, 620, 28, false

9, 12, 92599, 620, 28, false

9, 13, 92603, 620, 28, false

9, 14, 92599, 620, 28, false

9, 15, 92603, 620, 28, false

9, 16, 92599, 620, 28, false

9, 17, 92603, 620, 28, false

9, 18, 92599, 620, 28, false

9, 19, 92603, 620, 28, false

10, 0, 311301, 642, 27, false

10, 1, 92625, 630, 25, false

10, 2, 92597, 622, 26, false

10, 3, 92604, 624, 28, false

10, 4, 92600, 619, 28, false

10, 5, 92593, 619, 29, false

10, 6, 92599, 621, 28, false

10, 7, 92592, 619, 29, false

10, 8, 92587, 619, 26, false

10, 9, 92599, 621, 28, false

10, 10, 92592, 619, 29, false

10, 11, 92587, 619, 26, false

10, 12, 92599, 621, 28, false

10, 13, 92592, 619, 29, false

10, 14, 92587, 619, 26, false

10, 15, 92599, 621, 28, false

10, 16, 92592, 619, 29, false

10, 17, 92587, 619, 26, false

10, 18, 92599, 621, 28, false

10, 19, 92592, 619, 29, false

11, 0, 308922, 645, 28, true

11, 1, 92611, 626, 24, true

11, 2, 92605, 623, 26, true

11, 3, 92594, 624, 24, true

11, 4, 92596, 621, 29, true

11, 5, 92601, 621, 28, true

11, 6, 92605, 621, 28, true

11, 7, 92601, 621, 28, true

11, 8, 92605, 621, 28, true

11, 9, 92601, 621, 28, true

11, 10, 92605, 621, 28, true

11, 11, 92601, 621, 28, true

11, 12, 92605, 621, 28, true

11, 13, 92601, 621, 28, true

11, 14, 92605, 621, 28, true

11, 15, 92601, 621, 28, true

11, 16, 92605, 621, 28, true

11, 17, 92601, 621, 28, true

11, 18, 92605, 621, 28, true

11, 19, 92601, 621, 28, true

12, 0, 311334, 646, 29, true

12, 1, 92611, 626, 24, true

12, 2, 92605, 623, 26, true

12, 3, 92594, 624, 24, true

12, 4, 92596, 621, 29, true

12, 5, 92600, 621, 29, true

12, 6, 92597, 621, 29, true

12, 7, 92598, 621, 29, true

12, 8, 92597, 621, 29, true

12, 9, 92598, 621, 29, true

12, 10, 92597, 621, 29, true

12, 11, 92598, 621, 29, true

12, 12, 92597, 621, 29, true

12, 13, 92598, 621, 29, true

12, 14, 92597, 621, 29, true

12, 15, 92598, 621, 29, true

12, 16, 92597, 621, 29, true

12, 17, 92598, 621, 29, true

12, 18, 92597, 621, 29, true

12, 19, 92598, 621, 29, true

13, 0, 308909, 647, 27, true

13, 1, 92616, 629, 25, true

13, 2, 92609, 626, 26, true

13, 3, 92606, 625, 28, true

13, 4, 92592, 619, 29, true

13, 5, 92602, 619, 28, true

13, 6, 92592, 619, 29, true

13, 7, 92593, 621, 26, true

13, 8, 92595, 619, 28, true

13, 9, 92605, 621, 28, true

13, 10, 92592, 619, 29, true

13, 11, 92599, 621, 29, true

13, 12, 92601, 619, 28, true

13, 13, 92592, 619, 29, true

13, 14, 92593, 621, 26, true

13, 15, 92595, 619, 28, true

13, 16, 92605, 621, 28, true

13, 17, 92592, 619, 29, true

13, 18, 92602, 621, 28, true

13, 19, 92595, 619, 28, true

14, 0, 311320, 649, 27, true

14, 1, 92634, 632, 26, true

14, 2, 92609, 623, 26, true

14, 3, 92601, 623, 28, true

14, 4, 92594, 620, 28, true

14, 5, 92595, 620, 29, true

14, 6, 92594, 620, 28, true

14, 7, 92595, 620, 29, true

14, 8, 92594, 620, 28, true

14, 9, 92595, 620, 29, true

14, 10, 92594, 620, 28, true

14, 11, 92595, 620, 29, true

14, 12, 92594, 620, 28, true

14, 13, 92595, 620, 29, true

14, 14, 92594, 620, 28, true

14, 15, 92595, 620, 29, true

14, 16, 92594, 620, 28, true

14, 17, 92595, 620, 29, true

14, 18, 92594, 620, 28, true

14, 19, 92595, 620, 29, true

15, 0, 308910, 647, 27, false

15, 1, 92614, 628, 25, false

15, 2, 92611, 626, 27, false

15, 3, 92606, 622, 27, false

15, 4, 92592, 619, 29, false

15, 5, 92587, 619, 26, false

15, 6, 92599, 621, 29, false

15, 7, 92601, 619, 28, false

15, 8, 92592, 619, 29, false

15, 9, 92593, 621, 26, false

15, 10, 92595, 619, 28, false

15, 11, 92605, 621, 28, false

15, 12, 92592, 619, 29, false

15, 13, 92602, 621, 28, false

15, 14, 92595, 619, 28, false

15, 15, 92605, 621, 28, false

15, 16, 92592, 619, 29, false

15, 17, 92602, 621, 28, false

15, 18, 92595, 619, 28, false

15, 19, 92605, 621, 28, false

16, 0, 311328, 644, 29, false

16, 1, 92617, 628, 24, false

16, 2, 92597, 623, 27, false

16, 3, 92602, 624, 28, false

16, 4, 92596, 621, 29, false

16, 5, 92600, 621, 29, false

16, 6, 92597, 621, 29, false

16, 7, 92598, 621, 29, false

16, 8, 92597, 621, 29, false

16, 9, 92598, 621, 29, false

16, 10, 92597, 621, 29, false

16, 11, 92598, 621, 29, false

16, 12, 92597, 621, 29, false

16, 13, 92598, 621, 29, false

16, 14, 92597, 621, 29, false

16, 15, 92598, 621, 29, false

16, 16, 92597, 621, 29, false

16, 17, 92598, 621, 29, false

16, 18, 92597, 621, 29, false

16, 19, 92598, 621, 29, false

17, 0, 308908, 647, 27, false

17, 1, 92615, 627, 24, false

17, 2, 92605, 623, 26, false

17, 3, 92594, 624, 24, false

17, 4, 92596, 621, 29, false

17, 5, 92601, 621, 28, false

17, 6, 92605, 621, 28, false

17, 7, 92601, 621, 28, false

17, 8, 92605, 621, 28, false

17, 9, 92601, 621, 28, false

17, 10, 92605, 621, 28, false

17, 11, 92601, 621, 28, false

17, 12, 92605, 621, 28, false

17, 13, 92601, 621, 28, false

17, 14, 92605, 621, 28, false

17, 15, 92601, 621, 28, false

17, 16, 92605, 621, 28, false

17, 17, 92601, 621, 28, false

17, 18, 92605, 621, 28, false

17, 19, 92601, 621, 28, false

18, 0, 311312, 645, 28, false

18, 1, 92615, 627, 24, false

18, 2, 92605, 623, 26, false

18, 3, 92594, 624, 24, false

18, 4, 92596, 621, 29, false

18, 5, 92600, 621, 29, false

18, 6, 92597, 621, 29, false

18, 7, 92598, 621, 29, false

18, 8, 92597, 621, 29, false

18, 9, 92598, 621, 29, false

18, 10, 92597, 621, 29, false

18, 11, 92598, 621, 29, false

18, 12, 92597, 621, 29, false

18, 13, 92598, 621, 29, false

18, 14, 92597, 621, 29, false

18, 15, 92598, 621, 29, false

18, 16, 92597, 621, 29, false

18, 17, 92598, 621, 29, false

18, 18, 92597, 621, 29, false

18, 19, 92598, 621, 29, false

19, 0, 308911, 648, 27, false

19, 1, 92615, 627, 24, false

19, 2, 92605, 623, 26, false

19, 3, 92594, 624, 24, false

19, 4, 92596, 621, 29, false

19, 5, 92601, 621, 28, false

19, 6, 92605, 621, 28, false

19, 7, 92601, 621, 28, false

19, 8, 92605, 621, 28, false

19, 9, 92601, 621, 28, false

19, 10, 92605, 621, 28, false

19, 11, 92601, 621, 28, false

