run, id, cycles, Branch direction mis, Branch target mis, Correct
0, 0, 308908, 647, 27, TRUE

0, 1, 92615, 627, 24, TRUE

0, 2, 92605, 623, 26, TRUE

0, 3, 92594, 624, 24, TRUE

0, 4, 92596, 621, 29, TRUE

0, 5, 92601, 621, 28, TRUE

0, 6, 92605, 621, 28, TRUE

0, 7, 92601, 621, 28, TRUE

0, 8, 92605, 621, 28, TRUE

0, 9, 92601, 621, 28, TRUE

0, 10, 92605, 621, 28, TRUE

0, 11, 92601, 621, 28, TRUE

0, 12, 92605, 621, 28, TRUE

0, 13, 92601, 621, 28, TRUE

0, 14, 92605, 621, 28, TRUE

0, 15, 92601, 621, 28, TRUE

0, 16, 92605, 621, 28, TRUE

0, 17, 92601, 621, 28, TRUE

0, 18, 92605, 621, 28, TRUE

0, 19, 92601, 621, 28, TRUE

1, 0, 311336, 646, 29, TRUE

1, 1, 92611, 626, 24, TRUE

1, 2, 92602, 622, 26, TRUE

1, 3, 92588, 622, 24, TRUE

1, 4, 92590, 619, 29, TRUE

1, 5, 92595, 619, 28, TRUE

1, 6, 92599, 619, 28, TRUE

1, 7, 92595, 619, 28, TRUE

1, 8, 92599, 619, 28, TRUE

1, 9, 92595, 619, 28, TRUE

1, 10, 92599, 619, 28, TRUE

1, 11, 92595, 619, 28, TRUE

1, 12, 92599, 619, 28, TRUE

1, 13, 92595, 619, 28, TRUE

1, 14, 92599, 619, 28, TRUE

1, 15, 92595, 619, 28, TRUE

1, 16, 92599, 619, 28, TRUE

1, 17, 92595, 619, 28, TRUE

1, 18, 92599, 619, 28, TRUE

1, 19, 92595, 619, 28, TRUE

2, 0, 308903, 644, 28, TRUE

2, 1, 92611, 626, 24, TRUE

2, 2, 92605, 623, 26, TRUE

2, 3, 92594, 624, 24, TRUE

2, 4, 92596, 621, 29, TRUE

2, 5, 92601, 621, 28, TRUE

2, 6, 92605, 621, 28, TRUE

2, 7, 92601, 621, 28, TRUE

2, 8, 92605, 621, 28, TRUE

2, 9, 92601, 621, 28, TRUE

2, 10, 92605, 621, 28, TRUE

2, 11, 92601, 621, 28, TRUE

2, 12, 92605, 621, 28, TRUE

2, 13, 92601, 621, 28, TRUE

2, 14, 92605, 621, 28, TRUE

2, 15, 92601, 621, 28, TRUE

2, 16, 92605, 621, 28, TRUE

2, 17, 92601, 621, 28, TRUE

2, 18, 92605, 621, 28, TRUE

2, 19, 92601, 621, 28, TRUE

3, 0, 311340, 648, 29, TRUE

3, 1, 92611, 626, 24, TRUE

3, 2, 92605, 623, 26, TRUE

3, 3, 92594, 624, 24, TRUE

3, 4, 92596, 621, 29, TRUE

3, 5, 92601, 621, 28, TRUE

3, 6, 92605, 621, 28, TRUE

3, 7, 92601, 621, 28, TRUE

3, 8, 92605, 621, 28, TRUE

3, 9, 92601, 621, 28, TRUE

3, 10, 92605, 621, 28, TRUE

3, 11, 92601, 621, 28, TRUE

3, 12, 92605, 621, 28, TRUE

3, 13, 92601, 621, 28, TRUE

3, 14, 92605, 621, 28, TRUE

3, 15, 92601, 621, 28, TRUE

3, 16, 92605, 621, 28, TRUE

3, 17, 92601, 621, 28, TRUE

3, 18, 92605, 621, 28, TRUE

3, 19, 92601, 621, 28, TRUE

4, 0, 308912, 648, 27, TRUE

4, 1, 92616, 629, 25, TRUE

4, 2, 92609, 626, 26, TRUE

4, 3, 92606, 625, 28, TRUE

4, 4, 92592, 619, 29, TRUE

4, 5, 92602, 619, 28, TRUE

4, 6, 92592, 619, 29, TRUE

4, 7, 92602, 621, 28, TRUE

4, 8, 92595, 619, 28, TRUE

4, 9, 92605, 621, 28, TRUE

4, 10, 92592, 619, 29, TRUE

4, 11, 92602, 621, 28, TRUE

4, 12, 92595, 619, 28, TRUE

4, 13, 92605, 621, 28, TRUE

4, 14, 92592, 619, 29, TRUE

4, 15, 92602, 621, 28, TRUE

4, 16, 92595, 619, 28, TRUE

4, 17, 92605, 621, 28, TRUE

4, 18, 92592, 619, 29, TRUE

4, 19, 92602, 621, 28, TRUE

5, 0, 311318, 647, 28, TRUE

5, 1, 92615, 627, 24, TRUE

5, 2, 92605, 623, 26, TRUE

5, 3, 92594, 624, 24, TRUE

5, 4, 92596, 621, 29, TRUE

5, 5, 92601, 621, 28, TRUE

5, 6, 92605, 621, 28, TRUE

5, 7, 92601, 621, 28, TRUE

5, 8, 92605, 621, 28, TRUE

5, 9, 92601, 621, 28, TRUE

5, 10, 92605, 621, 28, TRUE

5, 11, 92601, 621, 28, TRUE

5, 12, 92605, 621, 28, TRUE

5, 13, 92601, 621, 28, TRUE

5, 14, 92605, 621, 28, TRUE

5, 15, 92601, 621, 28, TRUE

5, 16, 92605, 621, 28, TRUE

5, 17, 92601, 621, 28, TRUE

5, 18, 92605, 621, 28, TRUE

5, 19, 92601, 621, 28, TRUE

6, 0, 308936, 651, 27, TRUE

6, 1, 92613, 628, 25, TRUE

6, 2, 92609, 626, 26, TRUE

6, 3, 92606, 625, 28, TRUE

6, 4, 92592, 619, 29, TRUE

6, 5, 92602, 619, 28, TRUE

6, 6, 92592, 619, 29, TRUE

6, 7, 92602, 621, 28, TRUE

6, 8, 92595, 619, 28, TRUE

6, 9, 92605, 621, 28, TRUE

6, 10, 92592, 619, 29, TRUE

6, 11, 92602, 621, 28, TRUE

6, 12, 92595, 619, 28, TRUE

6, 13, 92605, 621, 28, TRUE

6, 14, 92592, 619, 29, TRUE

6, 15, 92602, 621, 28, TRUE

6, 16, 92595, 619, 28, TRUE

6, 17, 92605, 621, 28, TRUE

6, 18, 92592, 619, 29, TRUE

6, 19, 92602, 621, 28, TRUE

7, 0, 311331, 645, 29, TRUE

7, 1, 92617, 628, 24, TRUE

7, 2, 92597, 623, 27, TRUE

7, 3, 92602, 624, 28, TRUE

7, 4, 92596, 621, 29, TRUE

7, 5, 92601, 621, 28, TRUE

7, 6, 92605, 621, 28, TRUE

7, 7, 92601, 621, 28, TRUE

7, 8, 92605, 621, 28, TRUE

7, 9, 92601, 621, 28, TRUE

7, 10, 92605, 621, 28, TRUE

7, 11, 92601, 621, 28, TRUE

7, 12, 92605, 621, 28, TRUE

7, 13, 92601, 621, 28, TRUE

7, 14, 92605, 621, 28, TRUE

7, 15, 92601, 621, 28, TRUE

7, 16, 92605, 621, 28, TRUE

7, 17, 92601, 621, 28, TRUE

7, 18, 92605, 621, 28, TRUE

7, 19, 92601, 621, 28, TRUE

8, 0, 308928, 647, 28, TRUE

8, 1, 92611, 626, 24, TRUE

8, 2, 92605, 623, 26, TRUE

8, 3, 92594, 624, 24, TRUE

8, 4, 92596, 621, 29, TRUE

8, 5, 92601, 621, 28, TRUE

8, 6, 92605, 621, 28, TRUE

8, 7, 92601, 621, 28, TRUE

8, 8, 92605, 621, 28, TRUE

8, 9, 92601, 621, 28, TRUE

8, 10, 92605, 621, 28, TRUE

8, 11, 92601, 621, 28, TRUE

8, 12, 92605, 621, 28, TRUE

8, 13, 92601, 621, 28, TRUE

8, 14, 92605, 621, 28, TRUE

8, 15, 92601, 621, 28, TRUE

8, 16, 92605, 621, 28, TRUE

8, 17, 92601, 621, 28, TRUE

8, 18, 92605, 621, 28, TRUE

8, 19, 92601, 621, 28, TRUE

9, 0, 311315, 646, 28, TRUE

9, 1, 92615, 627, 24, TRUE

9, 2, 92605, 623, 26, TRUE

9, 3, 92594, 624, 24, TRUE

9, 4, 92596, 621, 29, TRUE

9, 5, 92601, 621, 28, TRUE

9, 6, 92605, 621, 28, TRUE

9, 7, 92601, 621, 28, TRUE

9, 8, 92605, 621, 28, TRUE

9, 9, 92601, 621, 28, TRUE

9, 10, 92605, 621, 28, TRUE

9, 11, 92601, 621, 28, TRUE

9, 12, 92605, 621, 28, TRUE

9, 13, 92601, 621, 28, TRUE

9, 14, 92605, 621, 28, TRUE

9, 15, 92601, 621, 28, TRUE

9, 16, 92605, 621, 28, TRUE

9, 17, 92601, 621, 28, TRUE

9, 18, 92605, 621, 28, TRUE

9, 19, 92601, 621, 28, TRUE

10, 0, 308902, 645, 27, TRUE

10, 1, 92615, 628, 23, TRUE

10, 2, 92602, 622, 26, TRUE

10, 3, 92588, 622, 24, TRUE

10, 4, 92590, 619, 29, TRUE

10, 5, 92595, 619, 28, TRUE

10, 6, 92599, 619, 28, TRUE

10, 7, 92595, 619, 28, TRUE

10, 8, 92599, 619, 28, TRUE

10, 9, 92595, 619, 28, TRUE

10, 10, 92599, 619, 28, TRUE

10, 11, 92595, 619, 28, TRUE

10, 12, 92599, 619, 28, TRUE

10, 13, 92595, 619, 28, TRUE

10, 14, 92599, 619, 28, TRUE

10, 15, 92595, 619, 28, TRUE

10, 16, 92599, 619, 28, TRUE

10, 17, 92595, 619, 28, TRUE

10, 18, 92599, 619, 28, TRUE

10, 19, 92595, 619, 28, TRUE

11, 0, 311318, 647, 28, TRUE

11, 1, 92615, 627, 24, TRUE

11, 2, 92605, 623, 26, TRUE

11, 3, 92594, 624, 24, TRUE

11, 4, 92596, 621, 29, TRUE

11, 5, 92601, 621, 28, TRUE

11, 6, 92605, 621, 28, TRUE

11, 7, 92601, 621, 28, TRUE

11, 8, 92605, 621, 28, TRUE

11, 9, 92601, 621, 28, TRUE

11, 10, 92605, 621, 28, TRUE

11, 11, 92601, 621, 28, TRUE

11, 12, 92605, 621, 28, TRUE

11, 13, 92601, 621, 28, TRUE

11, 14, 92605, 621, 28, TRUE

11, 15, 92601, 621, 28, TRUE

11, 16, 92605, 621, 28, TRUE

11, 17, 92601, 621, 28, TRUE

11, 18, 92605, 621, 28, TRUE

11, 19, 92601, 621, 28, TRUE

12, 0, 308911, 648, 27, TRUE

12, 1, 92617, 629, 25, TRUE

12, 2, 92611, 626, 27, TRUE

12, 3, 92606, 622, 27, TRUE

12, 4, 92592, 619, 29, TRUE

12, 5, 92587, 619, 26, TRUE

12, 6, 92601, 621, 28, TRUE

12, 7, 92595, 619, 28, TRUE

12, 8, 92605, 621, 28, TRUE

12, 9, 92592, 619, 29, TRUE

12, 10, 92602, 621, 28, TRUE

12, 11, 92595, 619, 28, TRUE

12, 12, 92605, 621, 28, TRUE

12, 13, 92592, 619, 29, TRUE

12, 14, 92602, 621, 28, TRUE

12, 15, 92595, 619, 28, TRUE

12, 16, 92605, 621, 28, TRUE

12, 17, 92592, 619, 29, TRUE

12, 18, 92602, 621, 28, TRUE

12, 19, 92595, 619, 28, TRUE

13, 0, 311335, 646, 29, TRUE

13, 1, 92628, 630, 26, TRUE

13, 2, 92609, 623, 26, TRUE

13, 3, 92601, 623, 28, TRUE

13, 4, 92594, 620, 28, TRUE

13, 5, 92603, 620, 28, TRUE

13, 6, 92599, 620, 28, TRUE

13, 7, 92603, 620, 28, TRUE

13, 8, 92599, 620, 28, TRUE

13, 9, 92603, 620, 28, TRUE

13, 10, 92599, 620, 28, TRUE

13, 11, 92603, 620, 28, TRUE

13, 12, 92599, 620, 28, TRUE

13, 13, 92603, 620, 28, TRUE

13, 14, 92599, 620, 28, TRUE

13, 15, 92603, 620, 28, TRUE

13, 16, 92599, 620, 28, TRUE

13, 17, 92603, 620, 28, TRUE

13, 18, 92599, 620, 28, TRUE

13, 19, 92603, 620, 28, TRUE

14, 0, 308937, 650, 28, TRUE

14, 1, 92622, 628, 26, TRUE

14, 2, 92609, 623, 26, TRUE

14, 3, 92601, 623, 28, TRUE

14, 4, 92594, 620, 28, TRUE

14, 5, 92603, 620, 28, TRUE

14, 6, 92599, 620, 28, TRUE

14, 7, 92603, 620, 28, TRUE

14, 8, 92599, 620, 28, TRUE

14, 9, 92603, 620, 28, TRUE

14, 10, 92599, 620, 28, TRUE

14, 11, 92603, 620, 28, TRUE

14, 12, 92599, 620, 28, TRUE

14, 13, 92603, 620, 28, TRUE

14, 14, 92599, 620, 28, TRUE

14, 15, 92603, 620, 28, TRUE

14, 16, 92599, 620, 28, TRUE

14, 17, 92603, 620, 28, TRUE

14, 18, 92599, 620, 28, TRUE

14, 19, 92603, 620, 28, TRUE

15, 0, 311327, 650, 28, TRUE

15, 1, 92628, 630, 26, TRUE

15, 2, 92609, 623, 26, TRUE

15, 3, 92601, 623, 28, TRUE

15, 4, 92594, 620, 28, TRUE

15, 5, 92603, 620, 28, TRUE

15, 6, 92599, 620, 28, TRUE

15, 7, 92603, 620, 28, TRUE

15, 8, 92599, 620, 28, TRUE

15, 9, 92603, 620, 28, TRUE

15, 10, 92599, 620, 28, TRUE

15, 11, 92603, 620, 28, TRUE

15, 12, 92599, 620, 28, TRUE

15, 13, 92603, 620, 28, TRUE

15, 14, 92599, 620, 28, TRUE

15, 15, 92603, 620, 28, TRUE

15, 16, 92599, 620, 28, TRUE

15, 17, 92603, 620, 28, TRUE

15, 18, 92599, 620, 28, TRUE

15, 19, 92603, 620, 28, TRUE

16, 0, 308911, 648, 27, TRUE

16, 1, 92615, 627, 24, TRUE

16, 2, 92605, 623, 26, TRUE

16, 3, 92594, 624, 24, TRUE

16, 4, 92596, 621, 29, TRUE

16, 5, 92601, 621, 28, TRUE

16, 6, 92605, 621, 28, TRUE

16, 7, 92601, 621, 28, TRUE

16, 8, 92605, 621, 28, TRUE

16, 9, 92601, 621, 28, TRUE

16, 10, 92605, 621, 28, TRUE

16, 11, 92601, 621, 28, TRUE

