39cd485, 28df627, 88de5b, 1f0b7d5, 1b83776, dbd002, 2fed652, 3d98f81, 370d45c, 53504, 1fe9aeb, 3dd8e45, 2cb7080, 82d8b1, 334abed, 3b30461, 3abaa3e, 2acfe66, b31c51, 2da12, 
3d6108c, 42a69d, 31ec697, 21163e5, 207051f, 37ab181, 77da6c, d4a252, 3e4c6c, 49d12, 1386de3, 6e53fb, 104aed9, 2156ad8, 39d7e68, 927bfd, 2265948, 1b9bf3a, 26f1020, 18a00e, 
22b658d, 272f304, 500272, 38f9bc, 2f56672, 1c429ad, 249646c, 283e50f, 2750d7e, 1d3fa8, 3395db, 4f5d76, 1b394c5, 26c72c5, b8041b, e9f437, 3c48f13, 3b2f00e, 15ab039, 1299d6, 
169a355, d53e42, 236b6d9, 70e521, b0f5e1, 1e24677, 26ee0dc, 36b7f8f, 36f2100, f1f32, 2f13b4a, cb04e9, 3f397b0, 32a24ec, 24fd147, 3166c37, 1b847b4, 28e4bf5, 172c90d, 166be1, 
2a34982, 386ec72, 302079d, 3462a33, 87e67, 7a05b8, 147fda, 2b1149f, 399df3d, 1d79d1, 26caaac, 1410d7e, 3d734b1, 3955353, 13b30fb, cb69f5, 22b3c3e, fb5065, a0baf4, 156791, 
223b8d4, 688e0e, b2b8b, 1111d0, cb59fd, 925006, 25be844, 1b6d93, 2b2905a, 2fb52, 93641d, 217abae, 25fc271, 36002f5, 3143ce6, 336d683, 1565555, 24386e0, 129d5ed, 4340, 
661e9e, 22122df, 6c78f1, 1e44f06, 1e5d0f1, 2e2f45a, 983be4, 31622a4, d00274, c25f1, 354fa0a, 340179d, 11812ed, 34d00b9, 186abda, 1aa5941, bffe9c, 3b324da, 2eb0aef, bb89a, 
158347e, 2516d41, 34323e3, 359bde9, 2840923, 2444a6a, 23b8c2d, aaf417, 11d82db, 1bf757, 17a8f98, 3086e62, 37468b0, 307ec60, 35a7bcb, 2ea085e, 2c9e6a6, 31ef1b8, 39a5458, 24cae, 
38b17ae, b1ef95, 254599, 9330e1, 2df97d7, 405d4d, 12256cb, 2010326, a4896f, 168ca2, 6666a7, 3894925, d9900c, 2a1b6d, 1bc0b4c, 396f69d, 9d1859, 350774d, 23309a5, 140931, 
84bcf, 361316f, 2b9da02, 319fdd7, 1a20540, 2332fbf, 8a2dea, 28947f1, 155bbad, 1654a2, 1bfb76a, 275766, 3b596a, 26c3d51, 196fd67, f2fad5, 184b0cf, 1357f1a, 859c4c, 39d1, 
3047887, 13f3d77, 296e4f6, 2b2b991, 18a39cf, 2eb645e, b31994, 2ac67b2, 14e33a1, 1a0b44, 1065237, 10b1d62, 1c53910, 927e18, fb84c2, 30a8f93, 1adcd0b, 345e223, 99239c, 7ddd5, 
