run, id, cycles, Branch direction mis, Load-use interlock, Correct
0, 0, 311326, 651, 651, TRUE

0, 1, 95016, 625, 669, TRUE

0, 2, 92622, 627, 668, TRUE

0, 3, 92599, 622, 666, TRUE

0, 4, 92598, 621, 664, TRUE

0, 5, 92601, 619, 664, TRUE

0, 6, 92592, 619, 665, TRUE

0, 7, 92596, 621, 663, TRUE

0, 8, 92596, 619, 664, TRUE

0, 9, 92606, 621, 664, TRUE

0, 10, 92592, 619, 665, TRUE

0, 11, 92596, 621, 663, TRUE

0, 12, 92596, 619, 664, TRUE

0, 13, 92606, 621, 664, TRUE

0, 14, 92592, 619, 665, TRUE

0, 15, 92596, 621, 663, TRUE

0, 16, 92596, 619, 664, TRUE

0, 17, 92606, 621, 664, TRUE

0, 18, 92592, 619, 665, TRUE

0, 19, 92596, 621, 663, TRUE

1, 0, 311339, 650, 655, TRUE

1, 1, 97426, 627, 672, TRUE

1, 2, 92607, 623, 667, TRUE

1, 3, 92604, 622, 665, TRUE

1, 4, 92595, 621, 663, TRUE

1, 5, 92597, 619, 664, TRUE

1, 6, 92607, 621, 664, TRUE

1, 7, 92593, 619, 664, TRUE

1, 8, 92607, 621, 664, TRUE

1, 9, 92593, 619, 664, TRUE

1, 10, 92607, 621, 664, TRUE

1, 11, 92593, 619, 664, TRUE

1, 12, 92607, 621, 664, TRUE

1, 13, 92593, 619, 664, TRUE

1, 14, 92607, 621, 664, TRUE

1, 15, 92593, 619, 664, TRUE

1, 16, 92607, 621, 664, TRUE

1, 17, 92593, 619, 664, TRUE

1, 18, 92607, 621, 664, TRUE

1, 19, 92593, 619, 664, TRUE

2, 0, 311348, 650, 654, TRUE

2, 1, 95017, 629, 669, TRUE

2, 2, 92612, 623, 668, TRUE

2, 3, 92606, 623, 665, TRUE

2, 4, 92593, 620, 664, TRUE

2, 5, 92604, 620, 665, TRUE

2, 6, 92602, 620, 664, TRUE

2, 7, 92604, 620, 665, TRUE

2, 8, 92602, 620, 664, TRUE

2, 9, 92604, 620, 665, TRUE

2, 10, 92602, 620, 664, TRUE

2, 11, 92604, 620, 665, TRUE

2, 12, 92602, 620, 664, TRUE

2, 13, 92604, 620, 665, TRUE

2, 14, 92602, 620, 664, TRUE

2, 15, 92604, 620, 665, TRUE

2, 16, 92602, 620, 664, TRUE

2, 17, 92604, 620, 665, TRUE

2, 18, 92602, 620, 664, TRUE

2, 19, 92604, 620, 665, TRUE

3, 0, 311337, 649, 654, TRUE

3, 1, 97429, 629, 669, TRUE

3, 2, 92612, 623, 668, TRUE

3, 3, 92606, 623, 665, TRUE

3, 4, 92593, 620, 664, TRUE

3, 5, 92604, 620, 665, TRUE

3, 6, 92602, 620, 664, TRUE

3, 7, 92604, 620, 665, TRUE

3, 8, 92602, 620, 664, TRUE

3, 9, 92604, 620, 665, TRUE

3, 10, 92602, 620, 664, TRUE

