run, id, cycles, Branch mispredictions, Icache busy
0, 0, 48486612, 45898, 2457 
0, 1, 47636573, 18073, 2101 
0, 2, 47380039, 5566, 2002 
0, 3, 47454983, 6718, 2037 
0, 4, 47381104, 10629, 2001 
0, 5, 47378559, 10633, 1997 
0, 6, 47369052, 10240, 1997 
0, 7, 47501623, 10789, 2051 
0, 8, 47342996, 10663, 1981 
0, 9, 47368607, 20084, 1980 
0, 10, 47437518, 7485, 2028 
0, 11, 47360298, 13515, 1982 
0, 12, 47445760, 45757, 1981 
0, 13, 47353327, 7406, 1993 
0, 14, 47442813, 18355, 2015 
0, 15, 47371509, 5568, 1999 
0, 16, 47368896, 12492, 1987 
0, 17, 47317718, 7413, 1973 
0, 18, 47464982, 13248, 2032 
0, 19, 47358758, 7430, 1993 
0, 20, 47331228, 10629, 1978 
0, 21, 47492795, 10635, 2048 
0, 22, 47419952, 5632, 2016 
0, 23, 47540263, 45831, 2019 
0, 24, 47336777, 7409, 1982 
0, 25, 47491980, 15575, 2039 
0, 26, 47400196, 10317, 2007 
0, 27, 47305037, 13246, 1962 
0, 28, 47363834, 10629, 1989 
0, 29, 47435701, 46088, 1977 
0, 30, 47365865, 10462, 1990 
0, 31, 47393044, 10790, 2002 
0, 32, 47401479, 5617, 2011 
0, 33, 47383004, 10225, 2001 
0, 34, 47445933, 6326, 2032 
0, 35, 47440264, 14181, 2020 
0, 36, 47317986, 10698, 1970 
0, 37, 47323078, 10168, 1975 
0, 38, 47587522, 45778, 2042 
0, 39, 47488826, 10222, 2050 
0, 40, 47350843, 6778, 1990 
0, 41, 47410096, 10668, 2009 
0, 42, 47370390, 10492, 1992 
0, 43, 47451098, 10772, 2028 
0, 44, 47353814, 5545, 1990 
0, 45, 47344785, 7481, 1987 
0, 46, 47405549, 10322, 2012 
0, 47, 47436633, 10325, 2018 
0, 48, 47357239, 10546, 1986 
0, 49, 47425900, 13894, 2014 
1, 0, 48352831, 6870, 2449 
1, 1, 47611147, 18346, 2090 
1, 2, 47421642, 10468, 2012 
