run, id, cycles, Branch mispredictions, Icache busy
0, 0, 472715, 248, 132 
0, 1, 189831, 111, 2 
0, 2, 184990, 102, 0 
0, 3, 185263, 193, 0 
0, 4, 184801, 39, 0 
0, 5, 185263, 193, 0 
0, 6, 184800, 39, 0 
0, 7, 185263, 193, 0 
0, 8, 184801, 39, 0 
0, 9, 185263, 193, 0 
0, 10, 184801, 39, 0 
0, 11, 185263, 193, 0 
0, 12, 184801, 39, 0 
0, 13, 185263, 193, 0 
0, 14, 184801, 39, 0 
0, 15, 185263, 193, 0 
0, 16, 184801, 39, 0 
0, 17, 185263, 193, 0 
0, 18, 184801, 39, 0 
0, 19, 185263, 193, 0 
0, 20, 184801, 39, 0 
0, 21, 185263, 193, 0 
0, 22, 184801, 39, 0 
0, 23, 185263, 193, 0 
0, 24, 184801, 39, 0 
0, 25, 185263, 193, 0 
0, 26, 184801, 39, 0 
0, 27, 185263, 193, 0 
0, 28, 184801, 39, 0 
0, 29, 185263, 193, 0 
0, 30, 184801, 39, 0 
0, 31, 185263, 193, 0 
0, 32, 184801, 39, 0 
0, 33, 185263, 193, 0 
0, 34, 184801, 39, 0 
0, 35, 185263, 193, 0 
0, 36, 184801, 39, 0 
0, 37, 185263, 193, 0 
0, 38, 184801, 39, 0 
0, 39, 185263, 193, 0 
0, 40, 184801, 39, 0 
0, 41, 185263, 193, 0 
0, 42, 184801, 39, 0 
0, 43, 185263, 193, 0 
0, 44, 184801, 39, 0 
0, 45, 185263, 193, 0 
0, 46, 184801, 39, 0 
0, 47, 185263, 193, 0 
0, 48, 184801, 39, 0 
0, 49, 185263, 193, 0 
1, 0, 472329, 119, 132 
1, 1, 192695, 263, 3 
1, 2, 185263, 193, 0 
1, 3, 185269, 195, 0 
1, 4, 185260, 192, 0 
1, 5, 185263, 193, 0 
1, 6, 185263, 193, 0 
1, 7, 184800, 39, 0 
1, 8, 185263, 193, 0 
1, 9, 185263, 193, 0 
1, 10, 185263, 193, 0 
1, 11, 184801, 39, 0 
1, 12, 185263, 193, 0 
1, 13, 185263, 193, 0 
1, 14, 185263, 193, 0 
1, 15, 184801, 39, 0 
1, 16, 185263, 193, 0 
1, 17, 185263, 193, 0 
1, 18, 185263, 193, 0 
1, 19, 184801, 39, 0 
1, 20, 185263, 193, 0 
1, 21, 185263, 193, 0 
1, 22, 185263, 193, 0 
1, 23, 184801, 39, 0 
1, 24, 185263, 193, 0 
1, 25, 185263, 193, 0 
1, 26, 185263, 193, 0 
1, 27, 184801, 39, 0 
1, 28, 185263, 193, 0 
1, 29, 185263, 193, 0 
1, 30, 185263, 193, 0 
1, 31, 184801, 39, 0 
1, 32, 185263, 193, 0 
1, 33, 185263, 193, 0 
1, 34, 185263, 193, 0 
1, 35, 184801, 39, 0 
1, 36, 185263, 193, 0 
1, 37, 185263, 193, 0 
1, 38, 185263, 193, 0 
1, 39, 184801, 39, 0 
1, 40, 185263, 193, 0 
