run, id, cycles, Branch mispredictions, Icache busy
0, 0, 43255196, 15699, 428 
0, 1, 42376532, 14451, 26 
0, 2, 42337199, 17627, 6 
0, 3, 42361937, 30591, 0 
0, 4, 42322991, 17614, 0 
0, 5, 42361835, 30557, 0 
0, 6, 42324164, 18005, 0 
0, 7, 42361132, 30325, 0 
0, 8, 42324494, 18115, 0 
0, 9, 42361838, 30558, 0 
0, 10, 42324164, 18005, 0 
0, 11, 42361132, 30325, 0 
0, 12, 42324494, 18115, 0 
0, 13, 42361838, 30558, 0 
0, 14, 42324164, 18005, 0 
0, 15, 42361132, 30325, 0 
0, 16, 42324494, 18115, 0 
0, 17, 42361838, 30558, 0 
0, 18, 42324164, 18005, 0 
0, 19, 42361132, 30325, 0 
0, 20, 42324494, 18115, 0 
0, 21, 42361838, 30558, 0 
0, 22, 42324164, 18005, 0 
0, 23, 42361132, 30325, 0 
0, 24, 42324494, 18115, 0 
0, 25, 42361838, 30558, 0 
0, 26, 42324164, 18005, 0 
0, 27, 42361132, 30325, 0 
0, 28, 42324494, 18115, 0 
0, 29, 42361838, 30558, 0 
0, 30, 42324164, 18005, 0 
0, 31, 42361132, 30325, 0 
0, 32, 42324494, 18115, 0 
0, 33, 42361838, 30558, 0 
0, 34, 42324164, 18005, 0 
0, 35, 42361132, 30325, 0 
0, 36, 42324494, 18115, 0 
0, 37, 42361838, 30558, 0 
0, 38, 42324164, 18005, 0 
0, 39, 42361132, 30325, 0 
0, 40, 42324494, 18115, 0 
0, 41, 42361838, 30558, 0 
0, 42, 42324164, 18005, 0 
0, 43, 42361132, 30325, 0 
0, 44, 42324494, 18115, 0 
0, 45, 42361838, 30558, 0 
0, 46, 42324164, 18005, 0 
0, 47, 42361132, 30325, 0 
0, 48, 42324494, 18115, 0 
0, 49, 42361838, 30558, 0 
1, 0, 43243652, 33065, 400 
1, 1, 42390583, 17626, 29 
1, 2, 42376280, 30557, 6 
1, 3, 42328980, 18005, 2 
1, 4, 42363540, 30325, 1 
1, 5, 42324494, 18115, 0 
1, 6, 42361838, 30558, 0 
1, 7, 42324164, 18005, 0 
1, 8, 42361132, 30325, 0 
1, 9, 42324494, 18115, 0 
1, 10, 42361838, 30558, 0 
1, 11, 42324164, 18005, 0 
1, 12, 42361132, 30325, 0 
1, 13, 42324494, 18115, 0 
1, 14, 42361838, 30558, 0 
1, 15, 42324164, 18005, 0 
1, 16, 42361132, 30325, 0 
1, 17, 42324494, 18115, 0 
1, 18, 42361838, 30558, 0 
1, 19, 42324164, 18005, 0 
1, 20, 42361132, 30325, 0 
1, 21, 42324494, 18115, 0 
1, 22, 42361838, 30558, 0 
1, 23, 42324164, 18005, 0 
1, 24, 42361132, 30325, 0 
1, 25, 42324494, 18115, 0 
1, 26, 42361838, 30558, 0 
1, 27, 42324164, 18005, 0 
1, 28, 42361132, 30325, 0 
1, 29, 42324494, 18115, 0 
1, 30, 42361838, 30558, 0 
1, 31, 42324164, 18005, 0 
1, 32, 42361132, 30325, 0 
1, 33, 42324494, 18115, 0 
1, 34, 42361838, 30558, 0 
1, 35, 42324164, 18005, 0 
1, 36, 42361132, 30325, 0 
1, 37, 42324494, 18115, 0 
1, 38, 42361838, 30558, 0 
1, 39, 42324164, 18005, 0 
1, 40, 42361132, 30325, 0 
1, 41, 42324494, 18115, 0 
1, 42, 42361838, 30558, 0 
1, 43, 42324164, 18005, 0 
1, 44, 42361132, 30325, 0 
1, 45, 42324494, 18115, 0 
1, 46, 42361838, 30558, 0 
1, 47, 42324164, 18005, 0 
1, 48, 42361132, 30325, 0 
1, 49, 42324494, 18115, 0 
2, 0, 43255185, 15695, 428 
2, 1, 42392381, 19737, 26 
2, 2, 42331141, 15608, 6 
2, 3, 42326075, 18641, 0 
2, 4, 42316979, 15608, 0 
2, 5, 42326075, 18641, 0 
2, 6, 42316979, 15608, 0 
2, 7, 42326075, 18641, 0 
2, 8, 42316979, 15608, 0 
2, 9, 42326075, 18641, 0 
2, 10, 42316979, 15608, 0 
2, 11, 42326075, 18641, 0 
2, 12, 42316979, 15608, 0 
2, 13, 42326075, 18641, 0 
2, 14, 42316979, 15608, 0 
2, 15, 42326075, 18641, 0 
2, 16, 42316979, 15608, 0 
2, 17, 42326075, 18641, 0 
2, 18, 42316979, 15608, 0 
2, 19, 42326075, 18641, 0 
2, 20, 42316979, 15608, 0 
2, 21, 42326075, 18641, 0 
2, 22, 42316979, 15608, 0 
2, 23, 42326075, 18641, 0 
2, 24, 42316979, 15608, 0 
2, 25, 42326075, 18641, 0 
2, 26, 42316979, 15608, 0 
2, 27, 42326075, 18641, 0 
2, 28, 42316979, 15608, 0 
2, 29, 42326075, 18641, 0 
2, 30, 42316979, 15608, 0 
2, 31, 42326075, 18641, 0 
2, 32, 42316979, 15608, 0 
2, 33, 42326075, 18641, 0 
2, 34, 42316979, 15608, 0 
2, 35, 42326075, 18641, 0 
2, 36, 42316979, 15608, 0 
2, 37, 42326075, 18641, 0 
