run, id, cycles, Branch mispredictions, Icache busy
0, 0, 1054634, 340, 256 
0, 1, 594963, 485, 44 
0, 2, 512627, 420, 8 
0, 3, 494861, 115, 1 
0, 4, 493369, 420, 0 
0, 5, 492454, 115, 0 
0, 6, 493369, 420, 0 
0, 7, 492454, 115, 0 
0, 8, 493369, 420, 0 
0, 9, 492454, 115, 0 
0, 10, 493369, 420, 0 
0, 11, 492454, 115, 0 
0, 12, 493369, 420, 0 
0, 13, 492454, 115, 0 
0, 14, 493369, 420, 0 
0, 15, 492454, 115, 0 
0, 16, 493369, 420, 0 
0, 17, 492454, 115, 0 
0, 18, 493369, 420, 0 
0, 19, 492454, 115, 0 
0, 20, 493369, 420, 0 
0, 21, 492454, 115, 0 
0, 22, 493369, 420, 0 
0, 23, 492454, 115, 0 
0, 24, 493369, 420, 0 
0, 25, 492454, 115, 0 
0, 26, 493369, 420, 0 
0, 27, 492454, 115, 0 
0, 28, 493369, 420, 0 
0, 29, 492454, 115, 0 
0, 30, 493369, 420, 0 
0, 31, 492454, 115, 0 
0, 32, 493369, 420, 0 
0, 33, 492454, 115, 0 
0, 34, 493369, 420, 0 
0, 35, 492454, 115, 0 
0, 36, 493369, 420, 0 
0, 37, 492454, 115, 0 
0, 38, 493369, 420, 0 
0, 39, 492454, 115, 0 
0, 40, 493369, 420, 0 
0, 41, 492454, 115, 0 
0, 42, 493369, 420, 0 
0, 43, 492454, 115, 0 
0, 44, 493369, 420, 0 
0, 45, 492454, 115, 0 
0, 46, 493369, 420, 0 
0, 47, 492454, 115, 0 
0, 48, 493369, 420, 0 
0, 49, 492454, 115, 0 
1, 0, 1048121, 386, 253 
1, 1, 588806, 367, 41 
1, 2, 527999, 115, 15 
1, 3, 504492, 115, 5 
1, 4, 498184, 420, 2 
1, 5, 497269, 115, 2 
1, 6, 492454, 115, 0 
1, 7, 492454, 115, 0 
1, 8, 493369, 420, 0 
1, 9, 492454, 115, 0 
1, 10, 492454, 115, 0 
1, 11, 492454, 115, 0 
1, 12, 493369, 420, 0 
1, 13, 492454, 115, 0 
1, 14, 492454, 115, 0 
1, 15, 492454, 115, 0 
1, 16, 493369, 420, 0 
1, 17, 492454, 115, 0 
1, 18, 492454, 115, 0 
1, 19, 492454, 115, 0 
1, 20, 493369, 420, 0 
1, 21, 492454, 115, 0 
1, 22, 492454, 115, 0 
1, 23, 492454, 115, 0 
1, 24, 493369, 420, 0 
1, 25, 492454, 115, 0 
1, 26, 492454, 115, 0 
1, 27, 492454, 115, 0 
1, 28, 493369, 420, 0 
1, 29, 492454, 115, 0 
1, 30, 492454, 115, 0 
1, 31, 492454, 115, 0 
1, 32, 493369, 420, 0 
1, 33, 492454, 115, 0 
1, 34, 492454, 115, 0 
1, 35, 492454, 115, 0 
1, 36, 493369, 420, 0 
1, 37, 492454, 115, 0 
1, 38, 492454, 115, 0 
1, 39, 492454, 115, 0 
1, 40, 493369, 420, 0 
1, 41, 492454, 115, 0 
1, 42, 492454, 115, 0 
1, 43, 492454, 115, 0 
1, 44, 493369, 420, 0 
1, 45, 492454, 115, 0 
1, 46, 492454, 115, 0 
