run, id, cycles, Branch mispredictions, Icache busy
0, 0, 259658, 42, 63 
0, 1, 121251, 38, 0 
0, 2, 121247, 37, 0 
0, 3, 121247, 37, 0 
0, 4, 121247, 37, 0 
0, 5, 121247, 37, 0 
0, 6, 121247, 37, 0 
0, 7, 121247, 37, 0 
0, 8, 121247, 37, 0 
0, 9, 121247, 37, 0 
0, 10, 121247, 37, 0 
0, 11, 121247, 37, 0 
0, 12, 121247, 37, 0 
0, 13, 121247, 37, 0 
0, 14, 121247, 37, 0 
0, 15, 121247, 37, 0 
0, 16, 121247, 37, 0 
0, 17, 121247, 37, 0 
0, 18, 121247, 37, 0 
0, 19, 121247, 37, 0 
0, 20, 121247, 37, 0 
0, 21, 121247, 37, 0 
0, 22, 121247, 37, 0 
0, 23, 121247, 37, 0 
0, 24, 121247, 37, 0 
0, 25, 121247, 37, 0 
0, 26, 121247, 37, 0 
0, 27, 121247, 37, 0 
0, 28, 121247, 37, 0 
0, 29, 121247, 37, 0 
0, 30, 121247, 37, 0 
0, 31, 121247, 37, 0 
0, 32, 121247, 37, 0 
0, 33, 121247, 37, 0 
0, 34, 121247, 37, 0 
0, 35, 121247, 37, 0 
0, 36, 121247, 37, 0 
0, 37, 121247, 37, 0 
0, 38, 121247, 37, 0 
0, 39, 121247, 37, 0 
0, 40, 121247, 37, 0 
0, 41, 121247, 37, 0 
0, 42, 121247, 37, 0 
0, 43, 121247, 37, 0 
0, 44, 121247, 37, 0 
0, 45, 121247, 37, 0 
0, 46, 121247, 37, 0 
0, 47, 121247, 37, 0 
0, 48, 121247, 37, 0 
0, 49, 121247, 37, 0 
1, 0, 259667, 45, 63 
1, 1, 121242, 35, 0 
1, 2, 121238, 34, 0 
1, 3, 121251, 38, 0 
1, 4, 121238, 34, 0 
1, 5, 121238, 34, 0 
1, 6, 121251, 38, 0 
1, 7, 121238, 34, 0 
1, 8, 121238, 34, 0 
1, 9, 121251, 38, 0 
1, 10, 121238, 34, 0 
1, 11, 121238, 34, 0 
1, 12, 121251, 38, 0 
1, 13, 121238, 34, 0 
1, 14, 121238, 34, 0 
1, 15, 121251, 38, 0 
1, 16, 121238, 34, 0 
1, 17, 121238, 34, 0 
1, 18, 121251, 38, 0 
1, 19, 121238, 34, 0 
1, 20, 121238, 34, 0 
1, 21, 121251, 38, 0 
1, 22, 121238, 34, 0 
1, 23, 121238, 34, 0 
1, 24, 121251, 38, 0 
1, 25, 121238, 34, 0 
1, 26, 121238, 34, 0 
1, 27, 121251, 38, 0 
1, 28, 121238, 34, 0 
1, 29, 121238, 34, 0 
1, 30, 121251, 38, 0 
1, 31, 121238, 34, 0 
1, 32, 121238, 34, 0 
1, 33, 121251, 38, 0 
1, 34, 121238, 34, 0 
1, 35, 121238, 34, 0 
1, 36, 121251, 38, 0 
1, 37, 121238, 34, 0 
1, 38, 121238, 34, 0 
1, 39, 121251, 38, 0 
1, 40, 121238, 34, 0 
1, 41, 121238, 34, 0 
1, 42, 121251, 38, 0 
1, 43, 121238, 34, 0 
1, 44, 121238, 34, 0 
1, 45, 121251, 38, 0 
1, 46, 121238, 34, 0 
1, 47, 121238, 34, 0 
1, 48, 121251, 38, 0 
1, 49, 121238, 34, 0 
2, 0, 259665, 44, 63 
2, 1, 121242, 35, 0 
2, 2, 121238, 34, 0 
2, 3, 121251, 38, 0 
2, 4, 121238, 34, 0 
2, 5, 121238, 34, 0 
2, 6, 121251, 38, 0 
2, 7, 121238, 34, 0 
2, 8, 121238, 34, 0 
2, 9, 121251, 38, 0 
2, 10, 121238, 34, 0 
2, 11, 121238, 34, 0 
2, 12, 121251, 38, 0 
2, 13, 121238, 34, 0 
2, 14, 121238, 34, 0 
2, 15, 121251, 38, 0 
2, 16, 121238, 34, 0 
2, 17, 121238, 34, 0 
2, 18, 121251, 38, 0 
2, 19, 121238, 34, 0 
2, 20, 121238, 34, 0 
2, 21, 121251, 38, 0 
2, 22, 121238, 34, 0 
2, 23, 121238, 34, 0 
2, 24, 121251, 38, 0 
2, 25, 121238, 34, 0 
2, 26, 121238, 34, 0 
2, 27, 121251, 38, 0 
2, 28, 121238, 34, 0 
2, 29, 121238, 34, 0 
2, 30, 121251, 38, 0 
2, 31, 121238, 34, 0 
2, 32, 121238, 34, 0 
2, 33, 121251, 38, 0 
